742.222	245.824	242.509	
1447.6	504.399	509.269	
1506.39	788.831	802.705	
2204.72	1083.76	1088	
2936.89	1378.23	1390.94	
3737.09	1403.01	1710.5	
4497.57	1724.19	2021.18	
5294.91	2044.87	2351.09	
6166.33	2071.86	2699.08	
6994.49	2421.62	3040.75	
7905.47	2770.84	3070.53	
8884.2	2800.23	3479.91	
9928.07	2830.7	3914.63	
10920.1	2863.36	4373.17	
11986	3281.69	4818.99	
13130.1	3317.38	5309.39	
14384.8	3773.65	5830.14	
15760.3	4262.71	6379.43	
17067.5	4305.75	6983.65	
18472	4856.98	7571.1	
20016.8	4904.01	7622.8	
21670.1	5525.62	8280.79	
23482.6	6209.4	8920.52	
25205.1	6936.88	9599.85	
27085.8	7663.23	10316.4	
29072.4	8462.22	11020	
29246.7	8530.38	11786.3	
31635	9454.86	12600.1	
33904.7	9534.15	13495.2	
36343.3	9618.5	14439.4	
