228.715	365.382	133.91	
607.664	767.303	261.391	
1024.51	1209.42	395.634	
1483.04	1695.74	541.462	
1900.62	2230.7	680.35	
2354.57	2730.24	833.127	
2767.98	3259.85	1001.18	
3217.38	3842.42	1185.96	
3707.65	4457.86	1389.22	
4200.33	5080.17	1603.26	
4695.56	5738.41	1835.76	
5233.9	6436.27	2078.64	
5821.19	7192.09	2322.23	
6411.37	8003.05	2590.06	
6997.62	8823.05	2872.09	
7642.5	9690.42	3178.47	
8285.2	10610	3498.5	
8992.17	11605.9	3819.48	
9702.8	12674.5	4172.39	
10468.9	13755	4544.03	
11311.7	14897.9	4947.73	
12158.6	16109.6	5332.23	
13009.8	17389.7	5755.17	
13935.2	18797.8	6220.21	
14944.7	20221.6	6709.91	
15959.2	21727.6	7170.49	
16978.9	23299.6	7726.17	
18087.5	25028.9	8283.48	
19296.8	26884.3	8896.25	
20512	28760.4	9541.52	
